	I	O	P	pmid	y
59	Effect of enalapril initiated early after acute myocardial infarction on heart failure parameters, with reference to clinical class and echocardiographic determinants.	CONSENSUS II Multi-Echo Study Group.. BACKGROUND AND HYPOTHESIS: Although the angiotensin-converting enzyme inhibitor enalapril has recently been shown to reduce mortality and the need for hospitalization in patients with left ventricular dysfunction and congestive heart failure, this drug was found to have no significant impact on short-term mortality after acute myocardial infarction (AMI) in the CONSENSUS II trial.	Effect of enalapril initiated early after acute myocardial infarction on heart failure parameters, with reference to clinical class and echocardiographic determinants.	8818434	1
60	Vasopeptidase inhibition: a novel approach to cardiovascular therapy.. Omapatrilat was designed to inhibit simultaneously angiotensin-converting enzyme (ACE) and neutral endopeptidase (NEP).	This balance is compromised in the setting of heart failure and primary hypertension.	This balance is compromised in the setting of heart failure and primary hypertension.	11875587	-1
61	After a run-in period of 4 weeks, in which all patients received perindopril, 12218 patients were randomly assigned perindopril 8 mg once daily (n=6110), or matching placebo (n=6108).	The mean follow-up was 4.2 years, and the primary endpoint was cardiovascular death, myocardial infarction, or cardiac arrest.	Efficacy of perindopril in reduction of cardiovascular events among patients with stable coronary artery disease: randomised, double-blind, placebo-controlled, multicentre trial (the EUROPA study).. BACKGROUND: Treatment with angiotensin-converting-enzyme (ACE) inhibitors reduces the rate of cardiovascular events among patients with left-ventricular dysfunction and those at high risk of such events.	13678872	-1
62	In combination with hydralazine, nitrates have been shown to improve exercise tolerance, enhance left ventricular ejection fraction, and prolong survival.	Nitrates in heart failure.. Organic nitrates have been used widely in the treatment of chronic congestive heart failure.	Nitrates in heart failure.. Organic nitrates have been used widely in the treatment of chronic congestive heart failure.	8181027	-1
63	Treatment was initiated with enalapril administered orally at a dose of 2.5 mg/day.	In this study we report the effect of the angiotesin-converting enzyme (ACE) inhibitor enalapril on hematocrit (Ht) and erythropoietin in four patients with PTE.	Effect of the angiotensin-converting enzyme inhibitor enalapril on post-transplant erythrocytosis.. Post-transplant erythrocytosis (PTE) is increasingly recognized as a complication of kidney transplantation.	9810784	-1
64	The TRACE study was a randomized, double-blind, placebo-controlled study in which patients with an enzyme-verified AMI and ejection fraction < or = 35% were assigned randomly to be administered oral trandolapril or placebo 3-7 days after the infarction.	OBJECTIVE: To evaluate the influence of a history of arterial hypertension on the efficacy of the angiotensin converting enzyme (ACE) inhibitor trandolapril in patients with acute myocardial infarction (AMI) and left ventricular dysfunction.	The TRACE study was a randomized, double-blind, placebo-controlled study in which patients with an enzyme-verified AMI and ejection fraction < or = 35% were assigned randomly to be administered oral trandolapril or placebo 3-7 days after the infarction.	9222948	-1
65	Subjects were then randomized in a double-blind fashion to receive either lisinopril, 20 mg/day (n=20), or placebo (n=20) for 6 months.	We studied the effect of 6 months treatment with lisinopril on endothelial function in a group of patients with hypercholesterolaemia.	We studied the effect of 6 months treatment with lisinopril on endothelial function in a group of patients with hypercholesterolaemia.	10209075	-1
66	[The quality of life of hypertensive patients treated with prazosin (sustained-release) or enalapril: a randomized controlled trial over 24 weeks]..	Both treatments proved equivalent in respect of efficacy on blood-pressure values, and tolerance, estimated through the number of dropouts or side-effects.	[The quality of life of hypertensive patients treated with prazosin (sustained-release) or enalapril: a randomized controlled trial over 24 weeks]..	10967698	-1
67	This double-blind study was conducted to investigate the efficacy, safety and tolerability of three dose levels of moexipril in comparison to placebo as add-on therapy to hydrochlorothiazide (HCTZ) in patients with moderate to severe hypertension.	The most frequently reported adverse events for moexipril and placebo were headache, flu syndrome and dizziness (6, 7, 5 vs. 4, 0, 4%).	The results indicate that the combination of moexipril and HCTZ is a clinically valuable combination in the treatment of patients with moderate to severe hypertension.	8793166	-1
68	The subjects were then randomly assigned to two 3-mo treatment periods, with either captopril or placebo (single blind, cross-over design).	At the end of each treatment period, insulin sensitivity was assessed by means of a euglycemic-hyperinsulinemic clamp (2 sequential steps, 2-h each, insulin infusion 0.25 and 1 mU.kg-1.min-1, steps 1 and 2, respectively), combined with infusion of [3-3H]glucose (for calculation of hepatic glucose output and peripheral glucose utilization, rates of glucose disappearance), and indirect calorimetry (for calculation of glucose oxidation, nonoxidative glucose metabolism, and lipid oxidation).	OBJECTIVE: To determine the long-term effects of the angiotensin-converting enzyme inhibitor captopril on insulin sensitivity in subjects with type II diabetes and arterial hypertension.	8269792	-1
69	METHODS AND RESULTS: From 1 July to 31 December 1998, we prospectively recorded epidemiological and clinical data from patients with congestive heart failure consecutively admitted to 11 departments of cardiology and 12 departments of internal medicine in Liguria, a northern area of Italy.	Specialty-related differences in the epidemiology, clinical profile, management and outcome of patients hospitalized for heart failure; the OSCUR study.	METHODS AND RESULTS: From 1 July to 31 December 1998, we prospectively recorded epidemiological and clinical data from patients with congestive heart failure consecutively admitted to 11 departments of cardiology and 12 departments of internal medicine in Liguria, a northern area of Italy.	11259147	-1
70	This meta-analysis of published studies evaluated the effect of selective alpha1-blockers on lipid and carbohydrate profiles and blood pressure (BP) as well as tolerability in patients with hypertension and type 2 diabetes.	This meta-analysis of published studies evaluated the effect of selective alpha1-blockers on lipid and carbohydrate profiles and blood pressure (BP) as well as tolerability in patients with hypertension and type 2 diabetes.	Meta-analysis of studies using selective alpha1-blockers in patients with hypertension and type 2 diabetes..	11777296	1
71	In a single-blind trial with a 2-week placebo run-in phase and a 4-week active-treatment period, spirapril at 6 mg once daily was administered to 49 consecutive hypertensive patients (34 men and 15 women).	At the end of the study, 48% of the patients with renal failure achieved normalization of DBP (< or = 90 mmHg) and/or a DBP reduction of > or = 10 mmHg; the corresponding rate for patients with normal renal function was 31%.	In conclusion, in patients with mild-to-moderate essential hypertension and varying degrees of renal impairment, spirapril at 6 mg once daily is an efficacious and well tolerated antihypertensive therapy.	8061847	-1
72	BACKGROUND: The recent randomized, controlled Survival and Ventricular Enlargement (SAVE) trial showed that captopril therapy improves survival in survivors of myocardial infarction with an ejection fraction < or = 40%.	BACKGROUND: The recent randomized, controlled Survival and Ventricular Enlargement (SAVE) trial showed that captopril therapy improves survival in survivors of myocardial infarction with an ejection fraction < or = 40%.	BACKGROUND: The recent randomized, controlled Survival and Ventricular Enlargement (SAVE) trial showed that captopril therapy improves survival in survivors of myocardial infarction with an ejection fraction < or = 40%.	7560617	-1
